id_nf,fornecedor,valor,data_nf
9026, gama industria,"R$ 29.526,94",05/03/2024
9020,Beta Suprimentos ,"R$ 28.617,67",12-11-2024
9007,distribuidora Sul Ltda,"R$ 29.380,47",06/04/2024
9013, gama industria,"R$ 42.712,88",06/12/2024
9019,Beta Suprimentos ,"R$ 862,21",08-08-2024
9004,sigma comercial LTDA,"R$ 17.279,71",03/07/2024
9026, gama industria,"R$ 29.526,94",05/03/2024
9002,Beta Suprimentos ,"R$ 1.027,93",09-09-2024
9017,Beta Suprimentos ,"R$ 31.617,74",11-04-2024
9025,OMEGA distribuicao,"R$ 28.334,54",03-02-2024
9014,OMEGA distribuicao,"R$ 2.492,74",03/01/2024
9034,Zeta Atacado,"R$ 34.490,36",12-03-2024
9021,Beta Suprimentos ,"R$ 14.846,26",08/05/2024
9015,sigma comercial LTDA,"R$ 24.087,90",02/11/2024
9023,ALFA COMERCIO,"R$ 8.882,26",10/03/2024
9008,distribuidora Sul Ltda,"R$ 10.574,69",08/11/2024
9016,OMEGA distribuicao,"R$ 26.212,69",06-07-2024
9009,OMEGA distribuicao,"R$ 1.633,99",01/01/2024
9006,sigma comercial LTDA,"R$ 15.700,99",01-12-2024
9019,Beta Suprimentos ,"R$ 862,21",08-08-2024
9005,distribuidora Sul Ltda,"R$ 23.053,38",11-12-2024
9011,Zeta Atacado,"R$ 15.875,28",10/01/2024
9003,Delta Logística,"R$ 10.412,29",09-08-2024
9035,Delta Logística,"R$ 18.718,33",01/07/2024
9021,Beta Suprimentos ,"R$ 14.846,26",08/05/2024
9018,Zeta Atacado,"R$ 28.923,69",07/02/2024
9012,Delta Logística,"R$ 16.593,99",09/11/2024
9030,distribuidora Sul Ltda,"R$ 22.278,76",01-12-2024
9031,Zeta Atacado,"R$ 15.646,27",09-11-2024
9035,Delta Logística,"R$ 18.718,33",01/07/2024
9032,ALFA COMERCIO,"R$ 7.911,69",10-05-2024
9010,Delta Logística,"R$ 569,91",03-10-2024
9024,Delta Logística,"R$ 32.371,15",03/11/2024
9000,ALFA COMERCIO,"R$ 26.761,48",10-01-2024
9030,distribuidora Sul Ltda,"R$ 22.278,76",01-12-2024
9029, gama industria,"R$ 33.295,54",06-08-2024
9033,ALFA COMERCIO,"R$ 13.403,24",05/11/2024
9027,Zeta Atacado,"R$ 8.329,67",10-03-2024
9011,Zeta Atacado,"R$ 15.875,28",10/01/2024
9001,Delta Logística,"R$ 34.078,59",07-09-2024
9022,Beta Suprimentos ,"R$ 34.892,67",10-06-2024
9028, gama industria,"R$ 30.278,24",05-03-2024
